Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,"<h1 class=""tl-title"">Important Moments in the History of LGBTQ+ Olympians</h1>",,,,,,title,,#009F3D
1976,,,,1976,,,,,John Curry,"At the 1976 Winter Olympics in Innsbruck, Austria, figure skater John Curry won a gold medal, making him the first openly LGBTQ+ Olympic Champion.",https://i.guim.co.uk/img/media/555b3f0ff0ace7b078fdd1977f0ccb81b22b1a63/0_178_1453_1816/master/1453.jpg?width=445&quality=45&auto=format&fit=max&dpr=2&s=e219a9952dccc1725ddf52a4e78374f5,"<a href=""https://www.theguardian.com/sport/2018/jan/28/john-curry-film-ice-king-skating-star-bittersweet-life-story-icarus"">theguardian.com</a>",,,,,#009F3D
2020,,,,2020,,,,,Georgia Simmerling,"At the 2020 Summer Olympics in Tokyo, Japan, Georgia Simmerling became the only LGBTQ+ Olympian to compete in three different sports.",https://www.vmcdn.ca/f/files/nsnews/images/sports/georgia-simmerling---teamcanada-twitter.jpg,"<a href=""https://www.nsnews.com/local-sports/west-vancouvers-one-of-a-kind-olympian-georgia-simmerling-retires-from-sport-4338994"">nsnews.com</a>",,,,,#009F3D
2018,,,,2018,,,,,Ireen Wüst,"At the 2018 Winter Olympics in PyeongChang, South Korea, Ireen Wüst won her eleventh medal, making her the most successful LGBTQ+ athlete of all time. ",https://www.pinknews.co.uk/images/2018/02/instagram-ireenw-650x813.jpg,"<a href=""https://www.pinknews.co.uk/2018/02/12/winter-olympics-2018-bisexual-ice-skater-ireen-wust-tears-up-as-she-breaks-huge-record-with-gold-medal/"">pinknews.com</a>",,,,,#009F3D
2012,,,,2012,,,,,Mel Daluzyan,Transgender athlete Mel Daluzyan was disqualified from the 2012 Winter Olympics because of drugs he had taken to begin his transition.,https://cdn.dmcl.biz/media/image/141777/o/CCKTwT5wNC391Dcy,"<a href=""https://www.insidethegames.biz/articles/1079032/latvian-long-jumper-and-armenian-weightlifter-disqualified-from-london-2012-olympics-following-retest-of-samples"">insidethegames.biz</a>",,,,,#009F3D
1988,,,,1988,,,,,Robert Dover,"At the 1988 Summer Olympics in Seoul, South Korea, Robert Dover was the first male Olympian to compete openly as a member of the LGBTQ+ community.",https://alchetron.com/cdn/robert-dover-equestrian-b2cbf625-7499-4a74-9354-b81f258e629-resize-750.jpeg,"<a href=""https://alchetron.com/Robert-Dover-(equestrian)"">alchetron.com</a>",,,,,#009F3D
2020,,,,2020,,,,,Laurel Hubbard,"At the 2020 Summer Olympics in Tokyo, Japan, Laurel Hubbard became the first female indentifying transgender Olympian.","https://www.gannett-cdn.com/presto/2021/08/02/USAT/92532721-2530-4140-9326-555ff8083ad4-GTY_1331939389.jpg?crop=5046,2838,x1,y234&width=3200&height=1800&format=pjpg&auto=webp","<a href=""https://www.usatoday.com/story/sports/olympics/2021/08/02/laurel-hubbard-becomes-openly-first-trans-woman-compete-olympics/5451329001/"">usatoday.com</a>",,,,,#009F3D
1968,,,,1968,,,,,Ewa Klobukowska,"In 1968, Ewa Klobukowska became the first of many athletes to be barred from competing in the Olympics due to failing the IOC's gender test.",http://1.bp.blogspot.com/-37YqateB1dQ/UbJdyUNTOII/AAAAAAAAADM/zZpSGXdNfno/s1600/133.jpg,"<a href=""http://genderverification.blogspot.com/"">genderverification.blogspot.com</a>",,,,,#009F3D
2020,,,,2020,,,,,Miraildes “Formiga” Mota,"At the 2020 Summer Olympics, Miraildes Mota became the only LGBTQ+ athlete to have competed in seven different Olympic Games.",http://s2.glbimg.com/hf3FBWitG2DoWOxNxxm46s8aRUw=/560x700/e.glbimg.com/og/ed/f/original/2016/07/15/formiga.jpg,"<a href=""https://epoca.oglobo.globo.com/tudo-sobre/noticia/2016/07/formiga.html"">epoca.oglobo.globo.com</a>",,,,,#009F3D
1981,,,,1981,,,,,Tom Waddell,"In 1981, Olympian Tom Waddell founded the Gay Games that took place a year later in San Francisco, California.",https://texashistory.unt.edu/ark:/67531/metadc916204/m1/1/high_res/,"<a href=""https://texashistory.unt.edu/ark:/67531/metadc916204/"">texashistory.unt.edu</a>",,,,,#009F3D
